sample_idx,R_um,deltaR_nm,kappa,neff,loss_dB_cm,T_on_at_nominal_laser,BER_est,ER_drop_db,contrast_drop_pct,tau_ps,Q_drop,IL_th_dB
356,2.4503317549986217,21.76075499862201,0.563593790942657,2.394500129650854,0.10270051487377499,0.4001047164111514,0.0,20.421004671580782,99.09238945545087,0.021759732221511674,26.145786446611655,1.5062028877512744e-05
357,2.437995973933182,9.424973933182102,0.5967705056541208,2.400614904016068,0.0984807082849817,1.04156611598737,0.0,19.20118343916564,98.79806313412708,0.02165123251977931,26.080520130032507,1.653752803160942e-05
358,2.46809814445117,39.52714445117031,0.5717490062093841,2.408993827152307,0.09570984587444487,0.0989518101276667,0.0,20.1179829106829,99.02680087691496,0.02055767883086508,25.41335333833458,1.4640721372309862e-05
359,2.4466780254539424,18.107025453942786,0.6514144419977644,2.39610636344685,0.09507011946652094,0.699250690121952,0.0,17.253054811224835,98.11767539639652,0.021723951405937227,26.124281070267568,2.0050308480933895e-05
360,2.3881617531312873,-40.40924686871247,0.6023237293275975,2.4093955281280417,0.09585708934961276,0.16523256993082044,0.0,19.00018713705606,98.74112883400666,0.020927483279742785,25.64091022755689,1.6137146264296266e-05
361,2.421481631167412,-7.089368832587879,0.5836286231515508,2.4062923713094584,0.09683123260969173,9.199833720164454,0.0,19.68034097912136,98.92361929993623,0.021460253783480272,25.96524131032758,1.528352078407311e-05
362,2.458476493135868,29.90549313586812,0.6328933042313482,2.3977130104891087,0.0895340092461225,0.22041803591979497,0.0,17.906704262608834,98.3806915813715,0.021963325090951717,26.267816954238562,1.7598299662044117e-05
363,2.403484013687414,-25.086986312585864,0.6260863952734739,2.4016661999434574,0.09942631864148237,0.27493187353395077,0.0,18.148423126900113,98.4683565172094,0.021061174181934705,25.72268067016754,1.8581091571938258e-05
364,2.4010068535777265,-27.56414642227312,0.603148908174643,2.4011221371768197,0.1062466317501225,0.20803324523422623,0.0,18.970299927452487,98.73243567623221,0.021007973918641072,25.690172543135784,1.8044199220076608e-05
365,2.453249034862953,24.67803486295335,0.6017408649316511,2.398369154600463,0.10305178193092997,0.2563273548985451,0.0,19.02118460532294,98.74720059206908,0.021881857659550807,26.21905476369092,1.7777993237187917e-05
366,2.441386238301188,12.815238301188481,0.6455612975167742,2.406718999422576,0.0971456913813095,0.3934495337092307,0.0,17.45902043514424,98.20486151970002,0.02182221108205798,26.183295823955987,1.9964632229245563e-05
367,2.4401575535819213,11.586553581921727,0.585037297143301,2.4001994531494657,0.09196564516856537,0.7576351094928158,0.0,19.628788514209027,98.91076610189596,0.021681967343723928,26.09902475618905,1.4714670350277041e-05
368,2.45045195988638,21.880959886380133,0.5822021187188842,2.4101874970374153,0.10096960476036099,0.14453955415765413,0.0,19.732626606732,98.9365003793482,0.022047876614943257,26.3183295823956,1.6030517886329118e-05
369,2.4110811940328034,-17.489805967196432,0.6039493531154637,2.3893407011510037,0.09680916091224127,0.18996741481852628,0.0,18.94148004613259,98.72399611876119,0.02097731206193875,25.671417854463616,1.6565405996787426e-05
370,2.398251885101036,-30.319114898963726,0.5843516204832521,2.3942435733872944,0.09367387290968364,0.12815380024384151,0.0,19.653895632496873,98.91704493522386,0.020839814478680288,25.587146786696675,1.4688070309737386e-05
371,2.4431163135852714,14.545313585271366,0.6216409926014251,2.3999304252502838,0.10090967743003759,0.604941034664385,0.0,18.306750540394294,98.52318890671762,0.02172977418351261,26.127781945486372,1.8822885427341015e-05
372,2.4425638488616963,13.99284886169669,0.6271156267316769,2.4018449436496683,0.08915859861088751,0.5267302624783085,0.0,18.111869347018697,98.45541054592908,0.02175473778206754,26.142785696424106,1.7004678337850112e-05
373,2.4296671421892233,1.0961421892234822,0.5542734156128918,2.3943697300756748,0.0947760692883089,3.2185698876936013,0.0,20.770380376219006,99.16254406954671,0.021391692035720472,25.923730932733182,1.3239264771154347e-05
374,2.4562388450968204,27.667845096820727,0.6531658074010558,2.412141192962578,0.10686507811589946,0.1535994058528789,0.0,17.188183747638753,98.0893478593226,0.020428421139973056,25.333333333333332,2.2803996532793054e-05
375,2.415628258554274,-12.942741445725927,0.6722027677835996,2.398850017619136,0.1027285674601972,0.7542593297675794,0.0,13.900024083263522,95.92621981266585,0.02282857557257809,27.77380311995702,2.326055489289759e-05
376,2.4509226670135114,22.351667013511765,0.5754663657415208,2.404785902524585,0.09903518003988365,0.17744189495154924,0.0,19.980535970709823,98.99550818353127,0.021957471103404444,26.264316079019753,1.5283911409431984e-05
377,2.4393985513028587,10.827551302858726,0.5672222155455016,2.4021161715483736,0.11321215625592113,0.5978041783770625,0.0,20.285821805289235,99.06369397186945,0.021703162141121425,26.11177794448612,1.6788804641675032e-05
378,2.466775699652337,38.20469965233743,0.6326112607085246,2.392144806220288,0.09769153224567029,0.19441990294363248,0.0,17.91667666755972,98.38440562194016,0.02200934785688539,26.295323830957738,1.924434877020846e-05
379,2.4583233428325024,29.752342832502663,0.5687395037812145,2.405393003823975,0.09718604198757759,0.12287492437401405,0.0,20.219778154841357,99.0493466465608,0.022073022218589308,26.333333333333332,1.4651477149735636e-05
380,2.440179379465214,11.608379465214236,0.5862976029435548,2.4011507531989777,0.09281775339075649,0.6605327342068195,0.0,19.582625429421412,98.8991263999847,0.02169983678231129,26.10977744436109,1.4930207145042143e-05
381,2.4606733503461187,32.10235034611873,0.5911355862686405,2.399876432190143,0.0943075319760443,0.15185473070856137,0.0,19.406028004912173,98.85343890959793,0.0220424302897398,26.315078769692423,1.5611469678386485e-05
382,2.450372181188428,21.80118118842828,0.6332440858307801,2.397381931789309,0.10313717878660784,0.3927085836535001,0.0,17.894199746262103,98.37602243448178,0.021812625176056023,26.177544386096525,2.0234182764638713e-05
